# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StreamlinedBlobStorage.recordsAllocated,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.totalPagesHandedOver,1736315451288000000,1736315511288000000,0
DirectByteBufferAllocator.misses,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.totalPagesWriteMs,1736315451288000000,1736315511288000000,0
FilePageCache.capacityInBytes,1736315451288000000,1736315511288000000,503316478
StreamlinedBlobStorage.recordsRelocated,1736315451288000000,1736315511288000000,0
StorageLockContext.competingThreads.max,1736315451288000000,1736315511288000000,0
MappedFileStorage.totalBytesMapped,1736315451288000000,1736315511288000000,164626432
FilePageCacheLockFree.totalPagesWritten,1736315451288000000,1736315511288000000,0
StorageLockContext.competingThreads.90P,1736315451288000000,1736315511288000000,0
FilePageCache.disposedBuffers,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.nativeBytesInUse,1736315451288000000,1736315511288000000,0
FilePageCache.maxCacheSizeInBytes,1736315451288000000,1736315511288000000,70270976
FileChannelInterruptsRetryer.totalRetriedAttempts,1736315451288000000,1736315511288000000,0
MappedFileStorage.storages,1736315451288000000,1736315511288000000,6
FilePageCache.pageLoads,1736315451288000000,1736315511288000000,0
FilePageCache.pageHits,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1736315451288000000,1736315511288000000,0
DirectByteBufferAllocator.disposed,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1736315451288000000,1736315511288000000,0
FilePageCache.pageFastCacheHits,1736315451288000000,1736315511288000000,0
FilePageCache.totalPageDisposalsUs,1736315451288000000,1736315511288000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1736315451288000000,1736315511288000000,0
DirectByteBufferAllocator.hits,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.heapBytesInUse,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.totalPagesRequested,1736315451288000000,1736315511288000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1736315451288000000,1736315511288000000,0
FilePageCache.uncachedFileAccess,1736315451288000000,1736315511288000000,0
Indexing.cache.totalCacheEvicted,1736315451288000000,1736315511288000000,0
Indexing.cache.totalCacheMisses,1736315451288000000,1736315511288000000,0
IndexesFlusher.totalFlushes,1736315451288000000,1736315511288000000,59
Indexing.writer_3.totalTimeSpentWritingMs,1736315451288000000,1736315511288000000,0
Indexing.writesQueuedMax,1736315451288000000,1736315511288000000,0
Indexing.writesQueuedAvg,1736315451288000000,1736315511288000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1736315451288000000,1736315511288000000,0
Indexing.writesQueuedMin,1736315451288000000,1736315511288000000,0
IndexesFlusher.totalContentionQuotaSpent,1736315451288000000,1736315511288000000,0
IndexesFlusher.totalFlushingTimeUs,1736315451288000000,1736315511288000000,315698
Indexing.writer_1.totalTimeSpentWritingMs,1736315451288000000,1736315511288000000,0
IndexesFlusher.totalFlushesRetried,1736315451288000000,1736315511288000000,0
Indexing.cache.totalCacheAccesses,1736315451288000000,1736315511288000000,0
Indexing.totalTimeIndexersSleptMs,1736315451288000000,1736315511288000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1736315451288000000,1736315511288000000,0
VFS.contentStorage.recordsReadDecompressed,1736315451288000000,1736315511288000000,0
VFS.contentStorage.recordsDeduplicated,1736315451288000000,1736315511288000000,0
VFS.contentStorage.recordsStoredCompressed,1736315451288000000,1736315511288000000,0
VFS.fileByIdCache.hits,1736315451288000000,1736315511288000000,0
VFS.fileByIdCache.misses,1736315451288000000,1736315511288000000,0
VFS.contentStorage.recordsUncompressedSize,1736315451288000000,1736315511288000000,0
VFS.contentStorage.recordsStoredSize,1736315451288000000,1736315511288000000,0
FileNameCache.totalMisses,1736315451288000000,1736315511288000000,0
VFS.contentStorage.recordsStored,1736315451288000000,1736315511288000000,0
FileNameCache.queries,1736315451288000000,1736315511288000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1736315451288000000,1736315511288000000,0
VFS.contentStorage.recordsRead,1736315451288000000,1736315511288000000,0
VFS.contentStorage.recordsReadSize,1736315451288000000,1736315511288000000,0
VFS.fileChildByName,1736315451288000000,1736315511288000000,0
VFS.invertedFileNameIndex.requests,1736315451288000000,1736315511288000000,0
DiskQueryRelay.tasksExecuted,1736315451288000000,1736315511288000000,0
writeAction.median.wait.ms,1736315451288000000,1736315511288000000,0
writeAction.wait.ms,1736315451288000000,1736315511288000000,0
writeAction.max.wait.ms,1736315451288000000,1736315511288000000,1
